,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,front-end,user,1
5,orders,user,1
6,front-end,catalogue,1
7,front-end,orders,1
8,unknown,front-end,1
9,orders,payment,1
10,orders,shipping,1
11,orders,carts,1
12,front-end,carts,1
13,payment,kubernetes-minion-group-6fdx,1
14,queue-master,kubernetes-minion-group-3sk9,1
15,shipping,kubernetes-minion-group-3sk9,1
16,user,kubernetes-minion-group-5rnc,1
17,user-db,kubernetes-minion-group-5rnc,1
18,carts,kubernetes-minion-group-7k49,1
19,carts-db,kubernetes-minion-group-5rnc,1
20,orders,kubernetes-minion-group-7k49,1
21,orders-db,kubernetes-minion-group-6fdx,1
22,catalogue,kubernetes-minion-group-6fdx,1
23,rabbitmq,kubernetes-minion-group-3sk9,1
24,catalogue-db,kubernetes-minion-group-6fdx,1
25,front-end,kubernetes-minion-group-3sk9,1
