,source,destination,weight
0,carts,carts-db,1
1,catalogue,catalogue-db,1
2,orders,orders-db,1
3,user,user-db,1
4,front-end,carts,1
5,front-end,catalogue,1
6,front-end,orders,1
7,front-end,user,1
8,orders,carts,1
9,unknown,front-end,1
10,orders,payment,1
11,orders,shipping,1
12,orders,user,1
13,catalogue-db,kubernetes-minion-group-k2nz,1
14,front-end,kubernetes-minion-group-103j,1
15,queue-master,kubernetes-minion-group-r23j,1
16,shipping,kubernetes-minion-group-k2nz,1
17,orders-db,kubernetes-minion-group-kvcr,1
18,rabbitmq,kubernetes-minion-group-r23j,1
19,orders,kubernetes-minion-group-kvcr,1
20,user-db,kubernetes-minion-group-kvcr,1
21,user,kubernetes-minion-group-kvcr,1
22,carts,kubernetes-minion-group-r23j,1
23,carts-db,kubernetes-minion-group-r23j,1
24,catalogue,kubernetes-minion-group-k2nz,1
25,payment,kubernetes-minion-group-k2nz,1
